"anio","subtipo_delito","total_victimas"
2015,Abuso sexual,11980
2015,Acoso sexual,1109
2015,Feminicidio,413
2015,Homicidio culposo,15212
2015,Homicidio doloso,16119
2015,Hostigamiento sexual,784
2015,Lesiones culposas,64669
2015,Lesiones dolosas,142447
2015,Trata de personas,415
2015,Violación equiparada,2081
2015,Violación simple,10538
2015,Violencia de género en todas sus modalidades distinta a la violencia familiar,1645
2015,Violencia familiar,127424
2016,Abuso sexual,15108
2016,Acoso sexual,1325
2016,Feminicidio,608
2016,Homicidio culposo,15263
2016,Homicidio doloso,20147
2016,Hostigamiento sexual,930
2016,Lesiones culposas,58649
2016,Lesiones dolosas,138835
2016,Trata de personas,383
2016,Violación equiparada,2547
2016,Violación simple,11002
2016,Violencia de género en todas sus modalidades distinta a la violencia familiar,1893
2016,Violencia familiar,154272
2017,Abuso sexual,15899
2017,Acoso sexual,1700
2017,Feminicidio,746
2017,Homicidio culposo,16291
2017,Homicidio doloso,25031
2017,Hostigamiento sexual,1052
2017,Lesiones culposas,50104
2017,Lesiones dolosas,154778
2017,Trata de personas,304
2017,Violación equiparada,2734
2017,Violación simple,10786
2017,Violencia de género en todas sus modalidades distinta a la violencia familiar,2142
2017,Violencia familiar,169579
2018,Abuso sexual,18875
2018,Acoso sexual,2712
2018,Feminicidio,904
2018,Homicidio culposo,15390
2018,Homicidio doloso,29091
2018,Hostigamiento sexual,1276
2018,Lesiones culposas,41121
2018,Lesiones dolosas,157416
2018,Trata de personas,393
2018,Violación equiparada,2962
2018,Violación simple,12360
2018,Violencia de género en todas sus modalidades distinta a la violencia familiar,2255
2018,Violencia familiar,180185
2019,Abuso sexual,23661
2019,Acoso sexual,4221
2019,Feminicidio,946
2019,Homicidio culposo,15378
2019,Homicidio doloso,29499
2019,Hostigamiento sexual,1861
2019,Lesiones culposas,44028
2019,Lesiones dolosas,166518
2019,Trata de personas,546
2019,Violación equiparada,3677
2019,Violación simple,13665
2019,Violencia de género en todas sus modalidades distinta a la violencia familiar,3180
2019,Violencia familiar,210189
2020,Abuso sexual,22377
2020,Acoso sexual,5596
2020,Feminicidio,947
2020,Homicidio culposo,14437
2020,Homicidio doloso,28839
2020,Hostigamiento sexual,1753
2020,Lesiones culposas,37728
2020,Lesiones dolosas,144272
2020,Trata de personas,558
2020,Violación equiparada,4225
2020,Violación simple,12318
2020,Violencia de género en todas sus modalidades distinta a la violencia familiar,4050
2020,Violencia familiar,220028
2021,Abuso sexual,27718
2021,Acoso sexual,7060
2021,Feminicidio,985
2021,Homicidio culposo,15697
2021,Homicidio doloso,28278
2021,Hostigamiento sexual,2077
2021,Lesiones culposas,45469
2021,Lesiones dolosas,155492
2021,Trata de personas,625
2021,Violación equiparada,5976
2021,Violación simple,15213
2021,Violencia de género en todas sus modalidades distinta a la violencia familiar,4186
2021,Violencia familiar,253740
2022,Abuso sexual,33359
2022,Acoso sexual,10977
2022,Feminicidio,965
2022,Homicidio culposo,16606
2022,Homicidio doloso,26288
2022,Hostigamiento sexual,2781
2022,Lesiones culposas,52822
2022,Lesiones dolosas,163985
2022,Trata de personas,808
2022,Violación equiparada,7455
2022,Violación simple,15646
2022,Violencia de género en todas sus modalidades distinta a la violencia familiar,5524
2022,Violencia familiar,270544
2023,Abuso sexual,35916
2023,Acoso sexual,13819
2023,Feminicidio,832
2023,Homicidio culposo,16726
2023,Homicidio doloso,25311
2023,Hostigamiento sexual,3481
2023,Lesiones culposas,57502
2023,Lesiones dolosas,166855
2023,Trata de personas,731
2023,Violación equiparada,7109
2023,Violación simple,15622
2023,Violencia de género en todas sus modalidades distinta a la violencia familiar,6406
2023,Violencia familiar,284203
2024,Abuso sexual,34575
2024,Acoso sexual,11648
2024,Feminicidio,824
2024,Homicidio culposo,17682
2024,Homicidio doloso,25463
2024,Hostigamiento sexual,3243
2024,Lesiones culposas,55958
2024,Lesiones dolosas,164632
2024,Trata de personas,624
2024,Violación equiparada,6148
2024,Violación simple,15325
2024,Violencia de género en todas sus modalidades distinta a la violencia familiar,6614
2024,Violencia familiar,278276
2025,Abuso sexual,33050
2025,Acoso sexual,11338
2025,Feminicidio,711
2025,Homicidio culposo,16945
2025,Homicidio doloso,19987
2025,Hostigamiento sexual,3157
2025,Lesiones culposas,55175
2025,Lesiones dolosas,156623
2025,Trata de personas,635
2025,Violación equiparada,6119
2025,Violación simple,14161
2025,Violencia de género en todas sus modalidades distinta a la violencia familiar,6528
2025,Violencia familiar,266760
