"nombre_entidad","anio","total","anio_anterior","variacion_absoluta","pct_cambio"
Oaxaca,2016,1608,424,1184,279.2
Nayarit,2017,294,84,210,250.0
Colima,2016,619,227,392,172.7
Baja California Sur,2017,693,272,421,154.8
Quintana Roo,2018,944,501,443,88.4
Quintana Roo,2017,501,278,223,80.2
Veracruz de Ignacio de la Llave,2016,1875,1048,827,78.9
Zacatecas,2016,620,357,263,73.7
Tabasco,2024,1208,736,472,64.1
Baja California,2017,2441,1515,926,61.1
Quintana Roo,2019,1516,944,572,60.6
Zacatecas,2021,1478,930,548,58.9
Baja California Sur,2025,234,150,84,56.0
Nayarit,2018,450,294,156,53.1
Puebla,2024,1889,1263,626,49.6
Veracruz de Ignacio de la Llave,2017,2788,1875,913,48.7
Yucatán,2021,236,159,77,48.4
Colima,2022,919,624,295,47.3
San Luis Potosí,2017,730,508,222,43.7
Yucatán,2019,136,95,41,43.2
Campeche,2021,179,125,54,43.2
Campeche,2016,170,122,48,39.3
Sinaloa,2025,2005,1445,560,38.8
Zacatecas,2020,930,677,253,37.4
Puebla,2017,1674,1218,456,37.4
Baja California Sur,2016,272,201,71,35.3
Baja California Sur,2024,150,113,37,32.7
Baja California,2018,3196,2441,755,30.9
Jalisco,2018,2795,2136,659,30.9
Guanajuato,2017,3378,2586,792,30.6
Colima,2017,793,619,174,28.1
Guanajuato,2018,4319,3378,941,27.9
San Luis Potosí,2016,508,399,109,27.3
San Luis Potosí,2018,926,730,196,26.8
Tabasco,2017,916,726,190,26.2
Morelos,2021,1346,1068,278,26.0
Chihuahua,2017,1919,1547,372,24.0
Nuevo León,2021,1754,1414,340,24.0
Sinaloa,2017,1921,1555,366,23.5
Baja California,2016,1515,1229,286,23.3
Sonora,2019,1458,1188,270,22.7
Sinaloa,2024,1445,1179,266,22.6
Puebla,2018,2015,1674,341,20.4
Chihuahua,2016,1547,1286,261,20.3
Morelos,2018,1028,855,173,20.2
Yucatán,2024,208,173,35,20.2
Campeche,2022,214,179,35,19.6
Sonora,2020,1742,1458,284,19.5
Nayarit,2021,382,320,62,19.4
